S.No,Tourist Destinations,Type of Destination
1,Ahimsa Sthal,Pilgrimage
2,Air Force Museum,Museum
3,Akshardam Mandir,Pilgrimage
4,Buddha Memorial,Memorial
5,Chhatarpur Temple,Pilgrimage
6,Craft Museum,Museum
7,Delhi Zoo,Zoo
8,Dilli Haat - INA,Handicraft Market
9,Dilli Haat - Pitampura,Handicraft Market
10,Gandhi Smriti,Memorial
11,Gurudwara Bangla Shahib,Pilgrimage
12,Gurudwara Rakab Ganj,Pilgrimage
13,Gurudwara Sis Ganj,Pilgrimage
14,Hazrat Nizam-ud-din Shrine,Pilgrimage
15,Humayun Tomb,Monument
16,India Gate,Monument
17,Indira Gandhi Smriti,Memorial
18,Shankar's International Dolls Museum,Museum
19,ISKCON Temple,Pilgrimage
20,Jama Masjid,Pilgrimage
21,Jantar Mantar,Monument
22,Kotla Feroz Shah,Monument
23,Laxmi Narain Temple (Birla Mandir),Pilgrimage
24,Lodhi Tomb,Monument
25,Mughal Garden,Garden
26,National Gallery of Modern Art,Museum
27,National Museum,Museum
28,National Museum of Natural History,Museum
29,National Rail Museum,Museum
30,National Science Centre Museum,Museum
31,Nehru Museum,Museum
32,Nehru Planetarium,Planetarium
33,Palika Bazaar,Underground Market
34,Pragati Maidan,Exhibition Ground
35,Purana Qila & Old Fort Museum,Monument
36,Qutab Minar,Monument
37,Rahim-Khane-Khanam Tomb,Monument
38,Raj Ghat,Memorial
39,Red Fort,Monument
40,Safdarjung Tomb,Monument
41,Sanskriti Museum,Museum
42,Sultan Ghari's Tomb,Monument
43,The Bahai Temple (Lotus Temple),Monument
44,The Garden of Five Senses,Garden
45,Tughluqabad Fort & GhiyassuddinTuglag Tomb,Monument
46,Yog Maya Mandir,Pilgrimage
